threshold_name,nominal_value,perturbation_percent,perturbed_value,path_group,n_sessions,n_samples,weighted_output_change_fraction_vs_nominal,session_median_change_fraction,session_q1_change_fraction,session_q3_change_fraction
low_gyro_max,0.15,-30,0.105,all,29,45560,0.000066,0,0,0
low_gyro_max,0.15,-30,0.105,ADB-like,27,40119,0,0,0,0
low_gyro_max,0.15,-30,0.105,browser-compatible,2,5441,0.000551,0.0005,0.00025,0.00075
low_gyro_max,0.15,-20,0.12,all,29,45560,0.000066,0,0,0
low_gyro_max,0.15,-20,0.12,ADB-like,27,40119,0,0,0,0
low_gyro_max,0.15,-20,0.12,browser-compatible,2,5441,0.000551,0.0005,0.00025,0.00075
low_gyro_max,0.15,-10,0.135,all,29,45560,0.000044,0,0,0
low_gyro_max,0.15,-10,0.135,ADB-like,27,40119,0,0,0,0
low_gyro_max,0.15,-10,0.135,browser-compatible,2,5441,0.000368,0.000333,0.000167,0.0005
low_gyro_max,0.15,10,0.165,all,29,45560,0,0,0,0
low_gyro_max,0.15,10,0.165,ADB-like,27,40119,0,0,0,0
low_gyro_max,0.15,10,0.165,browser-compatible,2,5441,0,0,0,0
low_gyro_max,0.15,20,0.18,all,29,45560,0,0,0,0
low_gyro_max,0.15,20,0.18,ADB-like,27,40119,0,0,0,0
low_gyro_max,0.15,20,0.18,browser-compatible,2,5441,0,0,0,0
low_gyro_max,0.15,30,0.195,all,29,45560,0,0,0,0
low_gyro_max,0.15,30,0.195,ADB-like,27,40119,0,0,0,0
low_gyro_max,0.15,30,0.195,browser-compatible,2,5441,0,0,0,0
low_euler_delta_max,2,-30,1.4,all,29,45560,0.000944,0,0,0
low_euler_delta_max,2,-30,1.4,ADB-like,27,40119,0,0,0,0
low_euler_delta_max,2,-30,1.4,browser-compatible,2,5441,0.007903,0.007167,0.003583,0.01075
low_euler_delta_max,2,-20,1.6,all,29,45560,0.000878,0,0,0
low_euler_delta_max,2,-20,1.6,ADB-like,27,40119,0,0,0,0
low_euler_delta_max,2,-20,1.6,browser-compatible,2,5441,0.007352,0.006667,0.003333,0.01
low_euler_delta_max,2,-10,1.8,all,29,45560,0.000834,0,0,0
low_euler_delta_max,2,-10,1.8,ADB-like,27,40119,0,0,0,0
low_euler_delta_max,2,-10,1.8,browser-compatible,2,5441,0.006984,0.006333,0.003167,0.0095
low_euler_delta_max,2,10,2.2,all,29,45560,0.000044,0,0,0
low_euler_delta_max,2,10,2.2,ADB-like,27,40119,0,0,0,0
low_euler_delta_max,2,10,2.2,browser-compatible,2,5441,0.000368,0.000333,0.000167,0.0005
low_euler_delta_max,2,20,2.4,all,29,45560,0.000571,0,0,0
low_euler_delta_max,2,20,2.4,ADB-like,27,40119,0,0,0,0
low_euler_delta_max,2,20,2.4,browser-compatible,2,5441,0.004779,0.004333,0.002167,0.0065
low_euler_delta_max,2,30,2.6,all,29,45560,0.000658,0,0,0
low_euler_delta_max,2,30,2.6,ADB-like,27,40119,0,0,0,0
low_euler_delta_max,2,30,2.6,browser-compatible,2,5441,0.005514,0.005,0.0025,0.0075
smooth_gyro_min,0.15,-30,0.105,all,29,45560,0.004763,0,0,0
smooth_gyro_min,0.15,-30,0.105,ADB-like,27,40119,0,0,0,0
smooth_gyro_min,0.15,-30,0.105,browser-compatible,2,5441,0.039882,0.036167,0.018083,0.05425
smooth_gyro_min,0.15,-20,0.12,all,29,45560,0.002941,0,0,0
smooth_gyro_min,0.15,-20,0.12,ADB-like,27,40119,0,0,0,0
smooth_gyro_min,0.15,-20,0.12,browser-compatible,2,5441,0.024628,0.022333,0.011167,0.0335
smooth_gyro_min,0.15,-10,0.135,all,29,45560,0.001097,0,0,0
smooth_gyro_min,0.15,-10,0.135,ADB-like,27,40119,0,0,0,0
smooth_gyro_min,0.15,-10,0.135,browser-compatible,2,5441,0.009189,0.008333,0.004167,0.0125
smooth_gyro_min,0.15,10,0.165,all,29,45560,0.001493,0,0,0
smooth_gyro_min,0.15,10,0.165,ADB-like,27,40119,0,0,0,0
smooth_gyro_min,0.15,10,0.165,browser-compatible,2,5441,0.012498,0.011333,0.005667,0.017
smooth_gyro_min,0.15,20,0.18,all,29,45560,0.002809,0,0,0
smooth_gyro_min,0.15,20,0.18,ADB-like,27,40119,0,0,0,0
smooth_gyro_min,0.15,20,0.18,browser-compatible,2,5441,0.023525,0.021333,0.010667,0.032
smooth_gyro_min,0.15,30,0.195,all,29,45560,0.004346,0,0,0
smooth_gyro_min,0.15,30,0.195,ADB-like,27,40119,0,0,0,0
smooth_gyro_min,0.15,30,0.195,browser-compatible,2,5441,0.03639,0.033,0.0165,0.0495
smooth_gyro_max,1.5,-30,1.05,all,29,45560,0.000812,0,0,0
smooth_gyro_max,1.5,-30,1.05,ADB-like,27,40119,0,0,0,0
smooth_gyro_max,1.5,-30,1.05,browser-compatible,2,5441,0.0068,0.006167,0.003083,0.00925
smooth_gyro_max,1.5,-20,1.2,all,29,45560,0.000395,0,0,0
smooth_gyro_max,1.5,-20,1.2,ADB-like,27,40119,0,0,0,0
smooth_gyro_max,1.5,-20,1.2,browser-compatible,2,5441,0.003308,0.003,0.0015,0.0045
smooth_gyro_max,1.5,-10,1.35,all,29,45560,0.000176,0,0,0
smooth_gyro_max,1.5,-10,1.35,ADB-like,27,40119,0,0,0,0
smooth_gyro_max,1.5,-10,1.35,browser-compatible,2,5441,0.00147,0.001333,0.000667,0.002
smooth_gyro_max,1.5,10,1.65,all,29,45560,0,0,0,0
smooth_gyro_max,1.5,10,1.65,ADB-like,27,40119,0,0,0,0
smooth_gyro_max,1.5,10,1.65,browser-compatible,2,5441,0,0,0,0
smooth_gyro_max,1.5,20,1.8,all,29,45560,0,0,0,0
smooth_gyro_max,1.5,20,1.8,ADB-like,27,40119,0,0,0,0
smooth_gyro_max,1.5,20,1.8,browser-compatible,2,5441,0,0,0,0
smooth_gyro_max,1.5,30,1.95,all,29,45560,0,0,0,0
smooth_gyro_max,1.5,30,1.95,ADB-like,27,40119,0,0,0,0
smooth_gyro_max,1.5,30,1.95,browser-compatible,2,5441,0,0,0,0
smooth_gyro_std_max,0.6,-30,0.42,all,29,45560,0.000988,0,0,0
smooth_gyro_std_max,0.6,-30,0.42,ADB-like,27,40119,0,0,0,0
smooth_gyro_std_max,0.6,-30,0.42,browser-compatible,2,5441,0.008271,0.0075,0.00375,0.01125
smooth_gyro_std_max,0.6,-20,0.48,all,29,45560,0.000263,0,0,0
smooth_gyro_std_max,0.6,-20,0.48,ADB-like,27,40119,0,0,0,0
smooth_gyro_std_max,0.6,-20,0.48,browser-compatible,2,5441,0.002205,0.002,0.001,0.003
smooth_gyro_std_max,0.6,-10,0.54,all,29,45560,0,0,0,0
smooth_gyro_std_max,0.6,-10,0.54,ADB-like,27,40119,0,0,0,0
smooth_gyro_std_max,0.6,-10,0.54,browser-compatible,2,5441,0,0,0,0
smooth_gyro_std_max,0.6,10,0.66,all,29,45560,0,0,0,0
smooth_gyro_std_max,0.6,10,0.66,ADB-like,27,40119,0,0,0,0
smooth_gyro_std_max,0.6,10,0.66,browser-compatible,2,5441,0,0,0,0
smooth_gyro_std_max,0.6,20,0.72,all,29,45560,0.000022,0,0,0
smooth_gyro_std_max,0.6,20,0.72,ADB-like,27,40119,0,0,0,0
smooth_gyro_std_max,0.6,20,0.72,browser-compatible,2,5441,0.000184,0.000167,0.000083,0.00025
smooth_gyro_std_max,0.6,30,0.78,all,29,45560,0.000022,0,0,0
smooth_gyro_std_max,0.6,30,0.78,ADB-like,27,40119,0,0,0,0
smooth_gyro_std_max,0.6,30,0.78,browser-compatible,2,5441,0.000184,0.000167,0.000083,0.00025
smooth_euler_delta_min,3,-30,2.1,all,29,45560,0.000066,0,0,0
